,balance,housing,loan,day,duration,campaign,pdays,Previous
0,2343.0,1.0,0.0,5.0,1042.0,1.0,0.0,0.0
1,45.0,0.0,0.0,5.0,1467.0,1.0,0.0,0.0
2,1270.0,1.0,0.0,5.0,1389.0,1.0,0.0,0.0
3,2476.0,1.0,0.0,5.0,579.0,1.0,0.0,0.0
4,184.0,0.0,0.0,5.0,673.0,2.0,0.0,0.0
5,0.0,1.0,1.0,5.0,562.0,2.0,0.0,0.0
6,830.0,1.0,1.0,6.0,1201.0,1.0,0.0,0.0
7,545.0,1.0,0.0,6.0,1030.0,1.0,0.0,0.0
8,1.0,1.0,0.0,6.0,608.0,1.0,0.0,0.0
9,5090.0,1.0,0.0,6.0,1297.0,3.0,0.0,0.0
10,100.0,1.0,0.0,7.0,786.0,1.0,0.0,0.0
11,309.0,1.0,0.0,7.0,1574.0,2.0,0.0,0.0
12,199.0,1.0,1.0,7.0,1689.0,4.0,0.0,0.0
13,460.0,1.0,0.0,7.0,1102.0,2.0,0.0,0.0
14,703.0,1.0,0.0,8.0,943.0,2.0,0.0,0.0
15,3837.0,1.0,0.0,8.0,1084.0,1.0,0.0,0.0
16,611.0,1.0,0.0,8.0,541.0,3.0,0.0,0.0
17,0.0,1.0,0.0,8.0,1119.0,1.0,0.0,0.0
18,55.0,1.0,0.0,8.0,1120.0,2.0,0.0,0.0
19,168.0,1.0,1.0,8.0,513.0,1.0,0.0,0.0
20,785.0,1.0,0.0,8.0,442.0,2.0,0.0,0.0
21,2067.0,1.0,0.0,8.0,756.0,1.0,0.0,0.0
22,388.0,1.0,0.0,8.0,2087.0,2.0,0.0,0.0
23,0.0,1.0,0.0,8.0,1120.0,2.0,0.0,0.0
24,381.0,1.0,0.0,8.0,985.0,2.0,0.0,0.0
25,40.0,1.0,0.0,9.0,617.0,4.0,0.0,0.0
26,22.0,1.0,0.0,9.0,483.0,3.0,0.0,0.0
27,3.0,1.0,0.0,9.0,929.0,3.0,0.0,0.0
28,307.0,1.0,0.0,9.0,538.0,1.0,0.0,0.0
29,759.0,1.0,0.0,9.0,710.0,1.0,0.0,0.0
30,0.0,1.0,0.0,9.0,653.0,1.0,0.0,0.0
31,65.0,1.0,0.0,9.0,1028.0,2.0,0.0,0.0
32,82.0,1.0,0.0,9.0,654.0,1.0,0.0,0.0
33,10.0,1.0,0.0,9.0,1692.0,2.0,0.0,0.0
34,390.0,1.0,0.0,9.0,665.0,2.0,0.0,0.0
35,311.0,0.0,0.0,12.0,757.0,2.0,0.0,0.0
36,414.0,0.0,0.0,13.0,504.0,4.0,0.0,0.0
37,5.0,1.0,0.0,13.0,1346.0,1.0,0.0,0.0
38,119.0,1.0,0.0,13.0,568.0,4.0,0.0,0.0
39,4.0,1.0,0.0,13.0,395.0,2.0,0.0,0.0
40,1262.0,1.0,1.0,13.0,1015.0,1.0,0.0,0.0
41,1949.0,1.0,0.0,13.0,683.0,2.0,0.0,0.0
42,0.0,1.0,0.0,13.0,470.0,1.0,0.0,0.0
43,1165.0,1.0,0.0,13.0,1001.0,4.0,0.0,0.0
44,2240.0,1.0,0.0,13.0,845.0,1.0,0.0,0.0
45,300.0,1.0,0.0,13.0,945.0,2.0,0.0,0.0
46,3285.0,1.0,0.0,13.0,1721.0,2.0,0.0,0.0
47,3923.0,1.0,0.0,14.0,942.0,3.0,0.0,0.0
48,1443.0,1.0,0.0,14.0,476.0,1.0,0.0,0.0
49,24.0,1.0,0.0,14.0,832.0,1.0,0.0,0.0
50,1618.0,1.0,0.0,14.0,1553.0,1.0,0.0,0.0
51,517.0,1.0,1.0,14.0,1328.0,1.0,0.0,0.0
52,1521.0,1.0,1.0,14.0,1125.0,2.0,0.0,0.0
53,2823.0,1.0,0.0,14.0,858.0,1.0,0.0,0.0
54,1405.0,1.0,0.0,14.0,629.0,2.0,0.0,0.0
55,1535.0,1.0,0.0,14.0,704.0,1.0,0.0,0.0
56,1596.0,1.0,0.0,14.0,760.0,1.0,0.0,0.0
57,1542.0,1.0,0.0,14.0,930.0,1.0,0.0,0.0
58,3652.0,1.0,0.0,14.0,1028.0,2.0,0.0,0.0
59,0.0,0.0,0.0,14.0,850.0,2.0,0.0,0.0
60,7180.0,1.0,0.0,14.0,927.0,1.0,0.0,0.0
61,5291.0,1.0,0.0,14.0,1423.0,3.0,0.0,0.0
62,1384.0,1.0,0.0,15.0,1162.0,4.0,0.0,0.0
63,0.0,1.0,0.0,15.0,755.0,1.0,0.0,0.0
64,320.0,1.0,0.0,15.0,695.0,1.0,0.0,0.0
65,146.0,1.0,0.0,15.0,483.0,1.0,0.0,0.0
66,341.0,1.0,1.0,15.0,520.0,2.0,0.0,0.0
67,0.0,1.0,0.0,15.0,920.0,2.0,0.0,0.0
68,0.0,1.0,0.0,15.0,500.0,1.0,0.0,0.0
69,4580.0,1.0,0.0,15.0,911.0,2.0,0.0,0.0
70,313.0,1.0,0.0,15.0,920.0,2.0,0.0,0.0
71,10576.0,0.0,0.0,15.0,1224.0,2.0,0.0,0.0
72,0.0,1.0,0.0,15.0,1156.0,2.0,0.0,0.0
73,2453.0,1.0,0.0,15.0,1052.0,1.0,0.0,0.0
74,1364.0,1.0,0.0,15.0,1867.0,6.0,0.0,0.0
75,281.0,1.0,0.0,16.0,515.0,1.0,0.0,0.0
76,94.0,1.0,1.0,16.0,813.0,1.0,0.0,0.0
77,144.0,1.0,0.0,16.0,676.0,1.0,0.0,0.0
78,246.0,1.0,0.0,16.0,1143.0,3.0,0.0,0.0
79,92.0,1.0,0.0,16.0,688.0,1.0,0.0,0.0
80,163.0,1.0,1.0,16.0,803.0,1.0,0.0,0.0
81,49.0,1.0,0.0,16.0,619.0,2.0,0.0,0.0
82,0.0,1.0,0.0,16.0,767.0,2.0,0.0,0.0
83,409.0,1.0,0.0,16.0,912.0,1.0,0.0,0.0
84,363.0,1.0,0.0,16.0,1340.0,1.0,0.0,0.0
85,3706.0,1.0,0.0,16.0,897.0,1.0,0.0,0.0
86,4393.0,1.0,0.0,16.0,1297.0,3.0,0.0,0.0
87,863.0,1.0,0.0,16.0,1193.0,5.0,0.0,0.0
88,695.0,1.0,1.0,16.0,1064.0,4.0,0.0,0.0
89,792.0,1.0,0.0,16.0,1187.0,4.0,0.0,0.0
90,1020.0,1.0,0.0,19.0,882.0,1.0,0.0,0.0
91,863.0,1.0,0.0,19.0,943.0,2.0,0.0,0.0
92,97.0,1.0,0.0,19.0,607.0,1.0,0.0,0.0
93,754.0,1.0,0.0,19.0,1022.0,4.0,0.0,0.0
94,1040.0,1.0,0.0,19.0,552.0,3.0,0.0,0.0
95,122.0,1.0,0.0,19.0,1622.0,2.0,0.0,0.0
96,880.0,1.0,1.0,19.0,967.0,6.0,0.0,0.0
97,501.0,1.0,0.0,19.0,579.0,5.0,0.0,0.0
98,4438.0,1.0,0.0,20.0,446.0,1.0,0.0,0.0
99,0.0,1.0,0.0,20.0,1205.0,1.0,0.0,0.0
100,271.0,1.0,0.0,20.0,1882.0,2.0,0.0,0.0
101,102.0,1.0,0.0,20.0,1334.0,1.0,0.0,0.0
102,2.0,1.0,0.0,20.0,182.0,2.0,0.0,0.0
103,4170.0,1.0,0.0,20.0,1777.0,1.0,0.0,0.0
104,85.0,1.0,0.0,20.0,1182.0,4.0,0.0,0.0
105,431.0,1.0,1.0,20.0,1045.0,1.0,0.0,0.0
106,982.0,1.0,0.0,20.0,650.0,3.0,0.0,0.0
107,408.0,1.0,1.0,20.0,1063.0,2.0,0.0,0.0
108,4822.0,1.0,0.0,20.0,843.0,2.0,0.0,0.0
109,1250.0,1.0,0.0,20.0,1392.0,2.0,0.0,0.0
110,216.0,1.0,0.0,21.0,565.0,1.0,0.0,0.0
111,1207.0,1.0,0.0,21.0,905.0,1.0,0.0,0.0
112,791.0,1.0,0.0,21.0,783.0,2.0,0.0,0.0
113,849.0,1.0,1.0,21.0,958.0,2.0,0.0,0.0
114,239.0,1.0,0.0,21.0,412.0,1.0,0.0,0.0
115,1211.0,1.0,0.0,21.0,795.0,1.0,0.0,0.0
116,599.0,1.0,0.0,21.0,649.0,2.0,0.0,0.0
117,825.0,1.0,0.0,21.0,506.0,2.0,0.0,0.0
118,2183.0,1.0,1.0,21.0,857.0,1.0,0.0,0.0
119,4499.0,0.0,0.0,21.0,1681.0,1.0,0.0,0.0
120,1289.0,1.0,0.0,21.0,1697.0,2.0,0.0,0.0
121,4665.0,1.0,0.0,21.0,860.0,2.0,0.0,0.0
122,3326.0,1.0,0.0,21.0,799.0,1.0,0.0,0.0
123,783.0,1.0,0.0,21.0,923.0,3.0,0.0,0.0
124,0.0,1.0,0.0,21.0,521.0,3.0,0.0,0.0
125,994.0,1.0,0.0,23.0,1349.0,8.0,0.0,0.0
126,1354.0,1.0,0.0,23.0,736.0,2.0,0.0,0.0
127,239.0,1.0,0.0,23.0,785.0,1.0,0.0,0.0
128,0.0,1.0,0.0,23.0,1030.0,1.0,0.0,0.0
129,149.0,1.0,0.0,23.0,893.0,3.0,0.0,0.0
130,1464.0,1.0,0.0,23.0,588.0,3.0,0.0,0.0
